#Iteration Current
0	3.52E-07
1	3.63E-07
2	3.67E-07
3	3.72E-07
4	3.66E-07
5	3.63E-07
6	3.77E-07
7	3.73E-07
8	3.64E-07
9	3.73E-07
10	3.70E-07
11	3.70E-07
12	3.85E-07
13	3.70E-07
14	3.72E-07
15	3.61E-07
16	3.66E-07
17	3.74E-07
18	3.61E-07
19	3.63E-07
20	3.54E-07
21	3.70E-07
22	3.75E-07
23	3.78E-07
24	3.62E-07
25	3.82E-07
26	3.89E-07
27	3.76E-07
28	3.79E-07
29	3.74E-07
30	3.78E-07
31	3.70E-07
32	3.77E-07
33	3.79E-07
34	3.73E-07
35	3.73E-07
36	3.77E-07
37	3.83E-07
38	3.61E-07
39	3.87E-07
40	3.70E-07
41	3.70E-07
42	3.84E-07
43	3.86E-07
44	3.74E-07
45	3.71E-07
46	3.82E-07
47	3.81E-07
48	3.78E-07
49	3.67E-07
50	3.83E-07
51	3.71E-07
52	3.74E-07
53	3.79E-07
54	3.86E-07
55	3.80E-07
56	3.90E-07
57	3.68E-07
58	3.77E-07
59	3.82E-07
60	3.76E-07
61	3.73E-07
62	3.64E-07
63	3.81E-07
64	3.81E-07
65	3.79E-07
66	3.87E-07
67	3.82E-07
68	3.68E-07
69	3.71E-07
70	3.76E-07
71	3.72E-07
72	3.78E-07
73	3.76E-07
74	3.82E-07
75	3.58E-07
76	3.77E-07
77	3.75E-07
78	3.60E-07
79	3.65E-07
80	3.72E-07
81	3.71E-07
82	3.79E-07
83	3.75E-07
84	3.78E-07
85	3.60E-07
86	3.65E-07
87	3.74E-07
88	3.82E-07
89	3.71E-07
90	3.81E-07
91	3.86E-07
92	3.65E-07
93	3.68E-07
94	3.84E-07
95	3.68E-07
96	3.71E-07
97	3.77E-07
98	3.73E-07
99	3.76E-07
100	3.66E-07
101	3.79E-07
102	3.78E-07
103	3.80E-07
104	3.74E-07
105	3.82E-07
106	3.69E-07
107	3.80E-07
108	3.68E-07
109	3.78E-07
110	3.76E-07
111	3.73E-07
112	3.66E-07
113	3.55E-07
114	3.81E-07
115	3.69E-07
116	3.86E-07
117	3.67E-07
118	3.66E-07
119	3.67E-07
