#wavelength y_mean y_std model_y_mean model_y_std
100 2.896 0.26616536213414393 2.8961376953128477 0.09471768633532619
150 3.2735 0.33222394555480195 3.2733438110343847 0.20059997404353755
200 3.0735 0.413718201194968 3.0736265563978935 0.18252209710431316
250 3.2560000000000002 0.329702896559918 3.2561878967320794 0.047711821069358104
300 3.314 0.29254743205162476 3.314032230377123 0.11593260524078834
350 3.5185000000000004 0.26610665155159113 3.5184167480466746 0.04188230065444991
400 3.3660000000000005 0.21240056497099996 3.3659824371334315 0.01576777743508525
450 3.2125 0.2713277538328875 3.2124998140333574 0.005450990464997627
500 3.44 0.3134007019775163 3.4396946191761386 0.06350817674146306
